osmid,y,x,street_count,highway,ref,geometry
182206042,39.109428,-75.8308465,3,,,POINT (1644079.8590879021 527560.0519000024)
182206067,39.1203996,-75.8098225,4,,,POINT (1649992.9622816218 531632.8257591756)
182206104,39.1328272,-75.7910896,3,,,POINT (1655247.3275860932 536228.5987226571)
182804280,39.1519054,-76.0391998,1,,,POINT (1584799.4511487037 542340.4760590694)
182804284,39.1485069,-76.0378406,3,,,POINT (1585197.9271623748 541106.8077707922)
182804292,38.8626491,-76.3558681,3,,,POINT (1495743.2578885423 436204.6064845504)
182804295,38.8650467,-76.3603548,3,,,POINT (1494459.6232043654 437068.7995473872)
182804296,38.8650801,-76.3615658,1,turning_circle,,POINT (1494114.7366734208 437078.54969548294)
182804299,39.0375207,-76.3050798,3,,,POINT (1509719.5718971898 499997.45727657544)
182804300,39.0382311,-76.3052032,1,,,POINT (1509682.5527515775 500255.91690240515)
182804301,38.9812611,-75.9865392,3,,,POINT (1600422.4079480753 480355.21027175325)
182804315,38.9782344,-76.0103398,4,,,POINT (1593669.0185829392 479178.71005363425)
182804316,38.9838183,-75.9835961,3,,,POINT (1601248.615801431 481295.79756536987)
182804320,39.1976542,-76.054785,3,,,POINT (1580207.4061247462 558956.1106744627)
182804323,39.1996165,-76.0560583,3,,,POINT (1579839.1762574988 559667.0537787292)
182804324,38.9843427,-76.2826938,3,,,POINT (1516230.1601899734 480679.4564480376)
182804328,38.9830115,-76.2826817,1,,,POINT (1516237.409171429 480194.66931612924)
182804329,39.2198516,-75.8658166,3,,,POINT (1633657.9861234666 567650.2423608366)
182804330,39.2179438,-75.8705832,1,,,POINT (1632316.2325020817 566938.6841980377)
182804335,38.9552032,-76.0895221,3,,,POINT (1571243.953026828 470556.82409709727)
182804336,39.2112848,-76.0299526,3,,,POINT (1587191.880965915 563994.242684913)
182804337,39.21182,-76.028625,3,,,POINT (1587565.9612190716 564193.1645299601)
182804338,38.98224,-76.2814546,3,,,POINT (1516588.4266010425 479916.43746037653)
182804343,38.9824152,-76.282679,3,,,POINT (1516239.8831346706 479977.50690841593)
182804349,39.062274,-76.079819,3,,,POINT (1573610.0350993094 509578.3934772301)
182804353,39.0631018,-76.0779952,1,turning_circle,,POINT (1574124.8220790026 509885.09684942063)
182804358,39.2247956,-75.9999697,3,,,POINT (1595633.140372043 569006.5893495028)
182804361,39.2292832,-75.9978014,4,,,POINT (1596229.4310053408 570647.7277133997)
182804369,39.236405,-75.994845,1,,,POINT (1597038.303879193 573250.727001203)
182804381,38.9257709,-76.32973,3,,,POINT (1503016.8671396773 459246.4231112473)
182804383,38.9261518,-76.3278917,3,,,POINT (1503538.808329451 459388.98838919465)
182804388,39.0397183,-76.0580981,3,,,POINT (1579862.0082773825 501426.723579314)
182804390,39.0416477,-76.0625658,4,,,POINT (1578585.8778612795 502116.3295123305)
182804392,39.041949,-76.063261,1,,,POINT (1578387.3066879602 502224.03307107696)
182804393,39.2510896,-75.859547,3,,,POINT (1635291.99019004 579049.2025654998)
182804400,39.2572928,-75.8633012,3,,,POINT (1634200.783413509 581295.1519034756)
182804401,39.0072167,-76.2987979,3,,,POINT (1511588.6278156848 488974.48169292003)
182804407,39.0062475,-76.298244,1,turning_circle,,POINT (1511748.7352772928 488622.7128251101)
182804410,39.2374246,-75.9854528,3,,,POINT (1599694.3542187614 573651.4984634292)
182804413,39.2384247,-75.9839559,1,,,POINT (1600114.2645944278 574020.4548879449)
182804459,39.1516971,-76.0189698,1,,,POINT (1590536.9088452558 542325.6289404697)
182804497,39.1900311,-75.763847,4,,,POINT (1662692.2398291228 557164.9556832364)
182804498,39.1903442,-75.7661246,3,,,POINT (1662045.2060800851 557270.250092778)
182804552,38.9675846,-76.2238622,3,,,POINT (1533004.7032657769 474713.1006394161)
182804657,38.9591813,-76.1591258,1,turning_circle,,POINT (1551438.1846703694 471815.7348967827)
182804687,39.0002322,-76.1278043,1,,,POINT (1560201.4063078433 486849.5315531685)
182804702,38.963147,-76.2655016,1,,,POINT (1521179.094986803 472999.0104711006)
182804759,39.0595377,-75.9229548,3,,,POINT (1618159.8800868304 509069.0977103606)
182804784,39.1088554,-75.8518267,3,,,POINT (1638129.692032086 527275.9603400155)
182804791,38.9643513,-76.2216155,4,,,POINT (1533653.5080514525 473541.0037869017)
182804802,38.9740474,-76.2804113,4,traffic_signals,,POINT (1516908.509591286 476935.08718069654)
182804840,38.892579,-76.144506,1,,,POINT (1555822.54546224 447598.83622735116)
182804872,39.0624517,-76.0933487,1,turning_circle,,POINT (1569767.8980766723 509604.672056349)
182804889,38.8748762,-76.3407552,1,,,POINT (1500014.2545576536 440688.2800348689)
182804894,38.9131245,-76.3464853,1,,,POINT (1498283.26070717 454606.16123150114)
182804896,39.2079917,-76.0519113,1,,,POINT (1580982.679254937 562729.5141004554)
182804899,39.208474,-76.051506,1,,,POINT (1581095.6950749052 562906.3628985807)
182804900,39.2366552,-75.9515721,1,,,POINT (1609293.528925549 573479.7117375911)
182804944,39.1509741,-75.9658528,3,,,POINT (1605602.313903307 542228.572297441)
182804993,39.2425837,-75.847377,3,,,POINT (1638777.2731344437 575994.6465813087)
182805018,39.0927281,-75.8687736,4,,,POINT (1633394.0185833706 521342.58720647986)
182805034,39.021671,-76.0666058,3,,,POINT (1577512.8589721078 494829.2726949153)
182805113,38.9527348,-76.3044834,3,,,POINT (1510124.2347753101 469120.1554507746)
182805138,38.9640885,-76.2104146,3,,,POINT (1536839.0305041678 473472.64551195217)
182805178,39.0143417,-76.0806339,3,motorway_junction,,POINT (1573554.4699840182 492119.58111540065)
182805179,39.0155132,-76.0764327,4,traffic_signals,,POINT (1574743.804510251 492558.2768290988)
182805187,39.0146246,-76.0768665,3,motorway_junction,,POINT (1574623.827288798 492233.41239915584)
182805188,39.0145352,-76.0763039,3,,,POINT (1574784.0028002504 492202.47091622854)
182805251,39.2425424,-75.9787372,1,,,POINT (1601575.5491224334 575536.6338995936)
182805293,39.1563419,-76.0490166,1,,,POINT (1581998.8534004646 543927.0953810237)
182805300,38.9456544,-76.2815312,3,,,POINT (1516671.5199125013 466592.088765141)
182805361,38.9827257,-76.1854198,1,turning_circle,,POINT (1543885.1211162081 480322.55684443447)
182805449,39.0404271,-76.0717488,3,,,POINT (1575982.3144782523 501645.1470668322)
182805471,39.0122605,-76.0758983,3,,,POINT (1574907.6283616496 491375.21840872546)
182805590,38.963081,-76.1559515,3,,,POINT (1552327.6458461892 473244.28616009734)
182805611,39.1714293,-75.8889354,1,,,POINT (1627323.2021422721 549934.4933533949)
182805640,38.8692322,-76.1996396,3,,,POINT (1540205.5179738877 438954.0009088562)
182805692,39.2431299,-75.9077186,1,,,POINT (1621685.9169521674 575983.4430928782)
182805737,39.1876779,-76.0445925,1,,,POINT (1583133.878341491 555352.785644203)
182805764,38.9150748,-76.1505557,3,,,POINT (1554024.510059471 455775.34996166104)
182805767,38.9147561,-76.1501472,3,,,POINT (1554141.81687481 455660.3663240706)
182805793,38.973144,-76.1501945,1,,,POINT (1553930.406563632 476924.2929208628)
182805879,38.9637131,-76.1982589,4,,,POINT (1540296.4081788934 473366.0533762474)
182805918,39.1784742,-75.9528679,3,,,POINT (1609169.585409965 552285.9731371361)
182805928,39.1694591,-75.9255696,3,,,POINT (1616946.2591681075 549092.6344307329)
182805929,39.1709717,-75.9265247,1,turning_circle,,POINT (1616669.012577651 549640.3305674979)
182805954,39.0774046,-75.9359018,3,,,POINT (1614407.909229867 515532.8693393993)
182805955,39.0798368,-75.937649,1,turning_circle,,POINT (1613901.6316808255 516412.86941099307)
182806161,38.9610966,-76.2041237,3,,,POINT (1538637.194823023 472398.5606424028)
182806191,39.0835763,-75.9581929,1,turning_circle,,POINT (1608054.5842455104 517707.5434430354)
182806208,39.0298211,-76.0921432,3,,,POINT (1570228.3625500272 497724.2887023391)
182806265,38.9911576,-76.1419164,4,traffic_signals,,POINT (1556222.1029865777 483506.6513077029)
182806268,38.9943545,-76.1424298,3,,,POINT (1556065.2489721975 484669.5565088601)
182806308,39.132688,-76.0606882,3,,,POINT (1578777.9662326972 535278.109222515)
182806309,39.1346529,-76.0663063,3,,,POINT (1577177.079204854 535977.3732838373)
182806347,39.0327843,-76.0494712,3,,,POINT (1582338.5105612515 498926.83526426984)
182806414,38.9598421,-76.1566525,3,,,POINT (1552139.2291434342 472062.8774546668)
182806463,39.1118563,-75.9589581,3,,,POINT (1607719.9322845289 528004.3619974353)
182806488,39.0853838,-75.9376825,3,,,POINT (1613868.6131783293 518432.90863063675)
182806489,39.0888674,-75.9320662,1,,,POINT (1615447.8631448976 519720.1939623443)
182806614,39.04953,-76.0560623,1,,,POINT (1580403.2652981007 505006.0176339159)
182806695,38.9774129,-76.1687467,3,,,POINT (1548642.0772764548 478430.4160624127)
182806697,38.9776801,-76.1692959,1,,,POINT (1548485.0698455046 478526.3061951093)
182806760,39.0111361,-76.0756114,3,motorway_junction,,POINT (1574993.2918277956 490966.5507249468)
182806970,39.236755,-75.9772881,3,,,POINT (1602009.5601728433 573433.43176793)
182807058,39.0494686,-76.0583658,3,,,POINT (1579749.3471192073 504976.9003718463)
182807143,39.1463775,-76.0346534,3,,,POINT (1586109.9699848937 540340.8271450388)
182807144,39.2005675,-76.0551376,3,,,POINT (1580096.500647273 560016.1108507679)
182807154,39.1682918,-75.8777105,3,,,POINT (1630519.3747836088 548830.7651505942)
182807197,39.0169564,-75.961595,3,,,POINT (1607364.9195126505 493434.48988495994)
182807198,39.0181383,-75.9574617,1,turning_circle,,POINT (1608534.3033475175 493878.303028591)
182807225,39.0652339,-75.9159673,3,,,POINT (1620119.2459063716 511167.0536253264)
182807233,39.1316134,-75.8179063,3,,,POINT (1647646.7930895088 535686.9332889351)
182807273,38.9671396,-76.1582035,3,,,POINT (1551673.70822491 474716.46594842174)
182807275,38.9479355,-76.2846841,1,,,POINT (1515768.3216626153 467415.8023550654)
182807311,39.1526498,-75.9548084,1,turning_circle,,POINT (1608727.2135117552 542874.5235303452)
182807345,39.1145885,-76.0546866,3,,,POINT (1580548.5736258856 528703.9062957872)
182807374,39.2040295,-76.053998,3,,,POINT (1580406.3713352487 561280.3296050596)
182807378,39.2056426,-76.0567919,3,,,POINT (1579608.6104403469 561859.6353470067)
182807460,39.1946888,-75.814971,3,,,POINT (1648181.1631243092 558669.0995769232)
182807527,39.1056929,-76.0294527,3,,,POINT (1587742.3895683049 525539.3084768351)
182807532,39.1075471,-76.0318967,1,turning_circle,,POINT (1587041.729590074 526207.2331573697)
182807579,39.2141668,-76.0299827,3,,,POINT (1587172.1989457596 565043.7879815046)
182807599,39.0227114,-75.9284578,3,,,POINT (1616754.811870721 495639.16174841975)
182807600,39.025437,-75.9380498,1,turning_circle,,POINT (1614018.3388703845 496599.9356801396)
182807642,39.0372775,-76.1434721,1,,,POINT (1555622.3489433217 500298.94571005006)
182807778,39.155913,-75.999664,1,,,POINT (1595994.6525072658 543920.4604863597)
182807806,38.9347511,-76.0191034,1,,,POINT (1591348.0099318526 463316.00532129337)
182807817,38.9610402,-76.211955,3,,,POINT (1536410.638655042 472358.7022154377)
182807847,38.9854493,-76.3077678,1,,,POINT (1509099.8912616067 481027.44901487295)
182807878,39.029591,-76.166355,1,,,POINT (1549148.431769502 497439.40512245696)
182807972,38.9868099,-76.288696,3,,,POINT (1514517.0519989885 481564.64503318234)
182807973,39.2164682,-75.8438644,3,,,POINT (1639892.5127374895 566496.0385312361)
182807974,39.2177835,-75.8421845,1,,,POINT (1640362.3639146257 566981.0972768287)
182808078,38.9644104,-76.1063706,4,,,POINT (1566420.1225521385 473862.60864634457)
182808184,38.9705631,-76.2523805,3,,,POINT (1524887.7083057768 475730.17404258996)
182808186,38.9711829,-76.2543509,3,,,POINT (1524325.6776822563 475951.3181507826)
182808343,38.982655,-76.2831698,3,,,POINT (1516099.6852228318 480063.74455789354)
182808506,39.1921142,-76.005336,3,,,POINT (1594242.6723683295 557087.3324259302)
182808648,38.991391,-76.0840775,3,,,POINT (1572659.9332831798 483751.38331016613)
182808656,38.8415521,-76.3717736,3,,,POINT (1491267.293081533 428489.7897475039)
182808845,39.2364779,-75.9815059,3,,,POINT (1600816.0750635995 573319.1545050667)
182808951,39.0757779,-76.1419719,3,,,POINT (1555916.6596679324 514324.57025501697)
182809066,39.1982229,-75.9045126,3,,,POINT (1622790.1397666538 559639.2323733501)
182809075,39.200479,-75.9013544,3,,,POINT (1623675.2271828474 560471.6528432372)
182809219,39.2570057,-75.8649924,4,traffic_signals,,POINT (1633723.2292041997 581184.6313877077)
182809224,39.076426,-76.145435,1,,,POINT (1554931.3509980603 514551.38383881695)
182809472,39.004196,-76.155757,1,,,POINT (1552244.4668264708 488218.42835381697)
182809583,39.1991048,-75.9001572,3,,,POINT (1624020.511087715 559975.25883485)
182809666,39.1995267,-75.9016953,3,motorway_junction,,POINT (1623582.798292291 560123.6656373444)
182809921,39.0475952,-76.0652616,1,,,POINT (1577798.0587030398 504274.4996440693)
182810244,38.9472314,-76.2809786,3,,,POINT (1516824.1562870364 467167.6547004021)
182810284,39.0020257,-76.3099143,1,,,POINT (1508444.1264558074 487059.8702746626)
182811285,39.2165854,-76.0361568,3,,,POINT (1585413.635026674 565906.1241503925)
182811434,39.0511524,-76.0173072,3,,,POINT (1591402.567354657 505713.0178564302)
182811595,38.9609401,-76.212013,3,,,POINT (1536394.461735215 472322.1045012607)
182812124,38.9829082,-76.3186277,4,traffic_signals,,POINT (1506019.9466783549 480078.7703935594)
182812134,38.9840771,-76.3193686,4,,,POINT (1505806.1692676495 480502.9061668216)
182812499,38.9366451,-76.2865643,1,,,POINT (1515265.7429683218 463299.76191391173)
182812510,39.0825402,-76.061391,3,,,POINT (1578766.4065152742 517012.4595447983)
182812628,39.2224806,-75.9763422,3,,,POINT (1602335.7667145142 568237.6501208849)
182812864,38.978467,-76.3217849,4,traffic_signals,,POINT (1505134.5185419503 478454.62761422404)
182813061,38.9999025,-76.3101485,3,,,POINT (1508383.4156991837 486286.1074051694)
182813064,38.9999862,-76.311713,3,,,POINT (1507938.5777405812 486313.2344934192)
182813253,38.9749881,-76.1611158,3,,,POINT (1550819.4388520792 477567.17530298984)
182813260,38.9756356,-76.1611238,1,turning_circle,,POINT (1550814.9976042039 477802.96650568955)
182813292,39.044261,-76.0653235,4,traffic_signals,,POINT (1577792.9129241523 503060.03622944775)
182813295,39.0448114,-76.0664503,4,traffic_signals,,POINT (1577470.8498707162 503257.2119001522)
182813299,39.0454783,-76.067514,3,,,POINT (1577166.278552324 503497.0028255962)
182813326,39.1987871,-76.0537151,1,,,POINT (1580506.3272315892 559371.8581220914)
182813361,38.8969611,-76.1766348,1,turning_circle,,POINT (1546663.9838126672 449110.6390918553)
182813387,38.8913169,-76.3567076,1,,,POINT (1495430.6506810377 446643.39580551814)
182813390,38.8913323,-76.3587273,4,,,POINT (1494855.7648713924 446644.95979303215)
182813397,38.8913743,-76.3642271,4,,,POINT (1493290.3067939111 446649.30665894074)
182813412,38.8912271,-76.3503929,4,,,POINT (1497228.1708559429 446623.4191087746)
182813425,39.0677421,-76.0754651,3,,,POINT (1574826.069628993 511582.324226362)
182813438,39.0635807,-76.1187471,3,,,POINT (1562552.5515188216 509945.2266850368)
182813470,39.1551527,-75.9566615,3,,,POINT (1608191.3196664946 543780.0561460402)
182813516,38.9292806,-76.3356738,3,,,POINT (1501316.6629913317 460512.26368676923)
182813537,38.9310343,-76.3410074,3,,,POINT (1499794.8148684944 461139.94878558617)
182813566,38.9375199,-76.3538042,4,,,POINT (1496137.9041239447 463475.9287851515)
182813575,38.9381583,-76.3555168,3,,,POINT (1495649.1387728848 463704.9854454793)
182813587,38.933455,-76.3541467,4,,,POINT (1496050.9588261712 461994.83532892086)
182813649,38.947297,-76.3512741,3,,,POINT (1496832.249619682 467041.7784104217)
182813686,39.1882623,-76.0181121,4,,,POINT (1590636.8867052768 555645.2650605086)
182813693,39.1901121,-76.0171179,3,,,POINT (1590911.4146348508 556321.9967571103)
182813698,39.1902514,-76.0141146,4,,,POINT (1591762.0565294847 556381.9088694248)
182813699,39.1901901,-76.0121146,3,,,POINT (1592329.1332141631 556365.7114117787)
182813706,39.1905483,-76.005579,3,,,POINT (1594180.0164034485 556516.280019965)
182813712,39.1869576,-75.858878,4,traffic_signals,,POINT (1635773.4074133753 555694.9037018805)
182813717,39.1879861,-75.859174,3,,,POINT (1635684.832333646 556068.4282451774)
182813718,39.1887457,-75.8594041,3,,,POINT (1635616.1605130294 556344.2548522488)
182813740,39.2371491,-75.8982205,3,,,POINT (1624402.0947922245 573837.5572030981)
182813751,39.2376884,-75.8965876,3,,,POINT (1624862.200887089 574039.5566750048)
182813769,39.2354011,-75.903316,3,,,POINT (1622966.5627434729 573183.5558777953)
182813781,39.2108576,-75.9837146,3,,,POINT (1600294.3833696372 563981.1898191796)
182813801,38.9480243,-76.127486,3,,,POINT (1560473.5917349465 467836.9448344566)
182813802,38.9484563,-76.1282681,1,turning_circle,,POINT (1560249.6698481748 467992.1479853588)
182813810,38.9345806,-76.3563889,1,,,POINT (1495410.2713847212 462400.2652413329)
182813898,38.9368283,-76.1880928,1,,,POINT (1543273.9858582758 463600.48605767614)
182813908,39.0468157,-76.0708548,3,,,POINT (1576212.543968409 503974.3968676639)
182813911,39.0461017,-76.0705886,3,,,POINT (1576290.7900279616 503715.13437022694)
182813923,39.2222866,-75.8230842,3,,,POINT (1645752.3551552608 568690.3032596002)
182813936,39.0302362,-76.0399061,3,,,POINT (1585065.2066869247 498027.28054311464)
182813943,39.0314433,-76.039383,1,turning_circle,,POINT (1585209.1706639251 498468.4551553492)
182813956,39.2483283,-75.8431864,3,,,POINT (1639937.5485999756 578101.8347414272)
182813966,39.2504955,-75.8416611,3,,,POINT (1640359.4668049708 578896.6041629278)
182813968,39.2315286,-75.8539698,3,,,POINT (1636960.7211677274 571944.8895951792)
182814051,39.0437501,-76.0642737,4,,,POINT (1578092.9651305925 502877.02592237934)
182814109,39.0078574,-75.9144709,3,,,POINT (1620792.5771934595 490276.5602847161)
182814112,39.0078461,-75.9157153,1,turning_circle,,POINT (1620439.040103021 490268.242704552)
182814154,38.9589432,-76.2039561,3,,,POINT (1538691.6886338352 471614.7315873421)
182814223,39.2273022,-76.01009,3,,,POINT (1592756.367564055 569888.2565764956)
