node,eigenvector
102550945,-3.104531834700178e-19
102550947,1.7920881779900944e-20
102550950,9.44084333966263e-19
102550952,6.490297954278532e-19
102550962,-3.317295710259459e-19
102550974,1.2339674918590956e-19
102550982,-4.437673107235712e-19
102550984,6.226462281377476e-20
102551002,-2.935212443474229e-19
102551009,1.4802829411171063e-19
102551012,-4.001437885193362e-19
102551014,-5.076307316974418e-19
102551017,3.7685447076234568e-19
102551020,6.091552596329609e-19
102551023,2.0478728746552355e-19
102551029,-1.942200825981391e-19
102551047,1.8951550859803507e-19
102551048,2.1230257838271958e-19
102551049,-4.453863598147772e-20
102551050,-3.5018834198745e-19
102551104,9.763142326333536e-19
102551137,-2.1255115498286135e-19
102551139,1.1976015141570163e-19
102551163,-4.388124452869564e-19
102551164,5.578485885875698e-19
102551167,-2.583849073473666e-19
102551170,-3.1245017598439155e-20
102551171,3.174770205263547e-19
102551198,7.908517152226322e-19
102551218,-4.990583154234779e-19
102551226,3.062561640343479e-19
102551236,-3.083013418229228e-19
102551245,2.026909957474342e-19
102551541,-6.813557188605587e-19
102551544,3.5226190016126243e-19
102551735,3.214978161241996e-16
102551739,5.97690109183761e-20
102551745,1.9810178489554643e-19
102551831,-4.718842181541608e-19
102551849,3.053779754192425e-19
102551861,-1.4417678191433424e-19
102551863,-6.408557286458493e-19
102551882,-3.1543420984535305e-19
102551927,2.2328849867649887e-15
102551929,3.544174099330622e-16
102551992,-1.1977687172135467e-18
102552019,4.1303890696012495e-19
102552024,-2.99768080516361e-19
102552060,-1.0852172093018992e-19
102552194,1.390502881907542e-15
102552196,1.3742880355317066e-16
102552198,3.499678576005403e-15
102552200,3.443187762345777e-16
102552204,1.3531587518365574e-16
102552208,2.2362719609629847e-17
102552320,-4.769100285977994e-19
102552422,2.480699461994769e-19
102552459,2.534799560664675e-19
102552460,2.0641540493411675e-19
102552659,-3.5937413493061e-18
102552661,-2.931617739261462e-18
102552664,-2.270909905002828e-18
102552747,3.885634592688366e-19
102552754,1.1106607948556228e-19
102552773,5.1492312813420486e-20
102552777,-1.4919729327308912e-18
102552819,2.5975794510114733e-19
102552883,1.0415160038515434e-19
102552926,-2.944377367397085e-19
102552980,9.475074286992479e-20
102552987,-2.490320841416984e-19
102553095,-6.082335438956777e-19
102553117,4.941410504237954e-19
102553185,1.8876515589343607e-19
102553191,-3.4603263408159967e-19
102553208,-1.6800005638741718e-19
102553397,2.2189947447668487e-16
102553398,2.0883234543270955e-17
102553417,-3.886033771371154e-19
102553433,2.529374784433054e-19
102553566,-4.0025764205209945e-19
102553569,3.173676487295959e-19
102553659,4.593241884498721e-18
102553661,-2.0700784385076924e-19
102553664,8.84511247323788e-17
102553667,8.413665190995251e-18
102553674,4.855132153363566e-17
102553789,1.85294252918443e-19
102553798,-3.3251340498908237e-19
102553806,-5.366226073081264e-19
102553852,1.1870005816140014e-18
102553855,-1.6390461268482148e-21
102554049,4.922379604570694e-18
102554264,-1.2160236805735467e-19
