node,eigenvector
102550945,-3.213362276561845e-20
102550947,-3.5588753257903586e-19
102550950,-3.847638932333917e-19
102550952,1.0044060471665223e-19
102550962,7.355829656206093e-19
102550974,1.1791139730399328e-19
102550982,-4.199928609891478e-19
102550984,2.059722726759079e-19
102551002,-1.5579094027679372e-19
102551009,1.2296220984323212e-19
102551012,-1.3326909729435543e-19
102551014,-1.296747264367025e-19
102551017,9.81548201717012e-21
102551020,1.668683596074271e-20
102551023,1.948079593597865e-19
102551029,-7.724764928392159e-20
102551047,1.7313910236597793e-19
102551048,-1.7529950134642248e-19
102551049,-7.30674485769931e-20
102551050,-7.577703446650709e-20
102551104,9.84094270044064e-19
102551137,-2.3494717270890697e-19
102551139,2.620790931522762e-19
102551163,3.640140477053131e-20
102551164,3.8914588015389355e-19
102551167,1.002352776201963e-19
102551170,-6.697435417620838e-20
102551171,9.695474959151702e-20
102551198,-4.81907421894812e-19
102551218,-7.075112999605392e-19
102551226,3.0420513467782155e-19
102551236,-4.788638264120089e-19
102551245,-8.682035727998304e-19
102551541,-4.96828539194621e-19
102551544,6.063577372675616e-20
102551735,3.209752119051963e-16
102551739,-8.891299772683344e-22
102551745,3.548344502027033e-20
102551831,-1.332897199085903e-19
102551849,2.6681194699592296e-19
102551861,-2.3841763360628896e-20
102551863,-2.469357868505048e-19
102551882,-2.4981478942434273e-20
102551927,2.2297745165437944e-15
102551929,3.5069493240893004e-16
102551992,1.0354946648044038e-18
102552019,3.638877829972639e-19
102552024,-1.9613990837917514e-19
102552060,7.0633440668238e-20
102552194,1.3933799362127614e-15
102552196,1.3738219314027203e-16
102552198,3.4963605226657817e-15
102552200,3.449821027677852e-16
102552204,1.354816305179251e-16
102552208,2.28444259014863e-17
102552320,1.8701865782001274e-18
102552422,1.7828180945348336e-18
102552459,-2.4972829896697576e-19
102552460,-5.1942529604162725e-19
102552659,2.8297267075178524e-18
102552661,6.261993719109715e-18
102552664,5.745752999028607e-18
102552747,-3.843111110384344e-19
102552754,-9.49466630974044e-21
102552773,1.5460796947715969e-19
102552777,4.474877159571334e-19
102552819,1.0623325073074646e-19
102552883,-3.867204735054322e-19
102552926,2.646290967522382e-20
102552980,-2.269302109523339e-19
102552987,1.3372710629616038e-19
102553095,-3.317585211646711e-18
102553117,-5.599153934512512e-20
102553185,1.6611116053140907e-19
102553191,-2.781675147660835e-19
102553208,-3.618797426643539e-19
102553397,2.2480144520129774e-16
102553398,2.167681802884065e-17
102553417,-5.433097366422601e-19
102553433,-3.5806188470711657e-19
102553566,6.252996358009393e-19
102553569,4.832492966051817e-19
102553659,5.9832423164308285e-18
102553661,3.7303223646117415e-19
102553664,8.356216465314571e-17
102553667,8.062768287224894e-18
102553674,4.3796265456871485e-17
102553789,1.9445888364833372e-19
102553798,-4.1904881053707434e-19
102553806,-2.9180241955036457e-19
102553852,-4.436689642245205e-19
102553855,3.327634603724695e-19
102554049,-9.119548528084451e-18
102554264,-2.014022952399352e-19
102554266,-8.416492947002728e-21
102554303,4.963818663938084e-19
102554313,-1.7199043076168874e-19
102554419,-2.994154523366144e-17
102554426,-3.7839544346446866e-18
102554613,1.2853668781090009e-16
102554925,3.257169794750785e-18
102555033,8.107326395150982e-20
102555038,3.9523232327986034e-19
102555090,1.9481272144748473e-18
102555176,-1.2074331693364921e-19
102555178,2.149604891630578e-19
102555258,5.153761162882057e-16
102555353,-4.271598787668548e-18
102555355,-6.431083616751619e-19
102555369,9.717394857141354e-16
102555553,-4.241954465955989e-19
102555577,4.6078063187509386e-17
102555580,4.531292110192784e-16
102555699,-1.4881272326186836e-19
102555701,1.245907992351448e-19
102555706,-1.1981296344941017e-17
102555721,-1.0381763403534453e-18
102555793,2.842627891385333e-16
102555900,8.842964628278963e-14
102555902,8.71995287240945e-15
102555961,5.0501730057003066e-15
102555969,1.261529343918735e-15
102555972,7.910708395885315e-16
102555983,6.4248712306060945e-21
102555985,4.050453376103342e-20
102555991,3.040299847070096e-19
102555997,-4.359437124779865e-20
102556083,-1.4973835486702073e-17
102556088,-2.4412820929838586e-18
102556244,1.335073303599662e-16
102556287,-3.1644823525223093e-19
102556303,7.914721467294828e-18
102556304,2.0226807772546857e-18
102556419,9.437464046268135e-19
102556420,4.158600290796351e-19
102556647,2.2005901223911793e-20
102556833,-1.0453071725181447e-18
102556835,-2.285717321862275e-19
102556837,-3.1391294013800763e-20
102556895,1.7109090000344886e-15
102556899,1.6882857715857428e-16
102556905,8.329164257192336e-16
102556929,8.881232927270208e-19
102556947,2.5413031218770443e-19
102556979,1.103973747854981e-18
102557021,4.53288244084449e-19
102557027,-2.1624502625011258e-19
102557088,2.4798870276841436e-18
102557102,-1.1856951903985116e-19
102557104,8.918102670646243e-20
102557119,9.602769011733698e-19
102557194,9.372656063201874e-20
102557240,2.9276464314871925e-17
102557267,7.655391506184857e-16
102557269,7.533817215845713e-17
102557280,-1.1334096285369353e-19
102557389,1.421188831189369e-18
102557440,3.461584819356794e-19
102557504,9.089066142315807e-19
102557506,6.8277638000313485e-18
102557513,5.906806259900833e-17
102557523,3.6314068040738746e-17
102557580,6.413570743947413e-20
102557592,2.552747650572381e-19
102557621,-1.7089523907315286e-18
102557695,-3.1841408966264157e-19
102557728,-1.602236077629658e-19
102557886,8.837534924252504e-20
102557909,3.7728171593968024e-16
102558005,3.636024508965537e-15
102558010,2.451200926237667e-15
102558129,1.733474816524583e-16
102558139,-3.8735061725018433e-19
102558140,-2.284558213010583e-19
102558228,1.9536397467731222e-19
102558312,-9.722923195654521e-18
102558388,6.701439719193979e-20
102558445,7.403351107793087e-20
102558496,-5.4533121309867604e-17
102558513,-1.862374886073674e-19
102558514,5.640422801102465e-19
102558599,-1.824363158603717e-18
102558610,1.0344808382352652e-19
102558680,9.645399978236661e-19
102558864,4.988690281277733e-19
102558911,3.992893220081784e-19
102558913,-4.582403612967256e-20
102558924,1.402196634243573e-19
102558949,7.683725426664412e-20
102558951,-2.073479973546769e-19
102558987,1.812684563118823e-19
102558990,-3.1175641085101313e-19
102559020,9.146465402599106e-17
102559025,9.938488293805809e-19
102559045,8.389890336771803e-21
102559051,-1.07444209701423e-18
102559054,-2.6226403190011646e-19
102559187,-3.8693813737797555e-19
102559189,1.40397831203225e-19
102559194,-4.050795025089468e-18
102559231,3.0649515613407302e-21
102559233,2.175902792382223e-19
102559243,-9.337232205148284e-20
102559248,4.479182457626459e-22
102559258,3.1194661664272835e-18
102559262,3.6205891398034067e-19
102559268,-2.6935276528512595e-19
102559273,-9.520385595973663e-20
102559275,3.2426785897031233e-19
102559669,-5.23124705277717e-18
102559671,-1.3824593376264047e-18
102559674,-1.91190593871134e-21
102559675,2.2666660676118524e-19
102559684,5.614084453278361e-19
102559756,1.3852973056004462e-18
102559821,4.985294069529401e-20
102559822,3.5974869218207664e-19
102559828,1.9138604550862244e-19
102559829,3.275691232548966e-19
102559841,4.3348482341965603e-19
102559844,-1.146737328318014e-19
102560058,-2.8210612620235625e-19
102560255,-5.555802981056329e-20
102560357,5.262186818721155e-19
102560362,1.5389596647927787e-19
102560367,1.4172544997016946e-20
102560391,-3.420781382335573e-19
102560397,-3.211620941373058e-19
102560401,2.9352747563123536e-13
102560409,1.1578317936065658e-13
102560426,5.853420694379504e-15
102560427,1.2311643351878105e-14
102560436,3.479178093674799e-19
102560503,1.289928502388768e-17
102560522,2.0615402236562854e-17
102560549,5.338398681644672e-17
102560560,-1.5711379643870842e-20
102560562,1.2972185579770695e-20
102560564,1.3110577051260467e-19
102560567,1.2392630153879214e-15
102560569,1.2214305020334156e-16
102560574,2.0953176891127715e-18
102560575,5.987158091388684e-19
102560605,-5.90016575920088e-19
102560610,5.3667862470301976e-20
102560612,-4.919875342268204e-19
102560618,1.6850203873248898e-19
102560663,2.533684848076554e-19
102560699,-1.0108099074345813e-19
102560701,-1.0432846101633815e-19
102560706,1.2896372170693162e-18
102560709,-1.9960876230542773e-19
102560730,1.5492144256196511e-18
102560739,-5.466372919999555e-19
102560742,3.3116049539555486e-19
102560751,2.6438683974138364e-18
102560753,-3.890672411793075e-20
102560755,5.461984106556477e-19
102560757,6.088395858577605e-19
102560761,1.8887527454284905e-18
102560764,9.112734890666916e-18
102560796,1.0035353157767282e-18
102560799,6.752826348616607e-19
102560801,7.409789205691648e-19
102560803,1.9523133605513297e-19
102560804,5.149443872434614e-19
102560808,1.4735325204283426e-18
102560816,1.833614112111204e-18
102560818,1.414668966659954e-18
102560823,6.449338683102555e-19
102560826,1.3081127073083371e-20
102560827,1.691609894208094e-18
102560830,2.8140561955280244e-18
102560835,6.1713034151286194e-18
102560836,1.29983351301873e-17
102560924,2.550805557679155e-19
102560926,7.51382839164102e-19
102560929,-2.2699618334339103e-19
102560931,-1.313980569218933e-18
102560940,-1.3528264487360694e-19
102560942,6.20331124349994e-19
102560953,-3.3420143630964735e-18
102560955,6.038139506846927e-19
102560957,-3.329083804808919e-20
102560959,1.1400018901223873e-19
102560961,3.7705815071450507e-19
102560963,-1.38259740287572e-19
102560969,-1.5443098722159434e-19
102561059,1.5271981492828042e-17
102561105,2.5983913439191808e-20
102561109,7.531879812870077e-19
102561161,-3.374609070979302e-20
102561191,4.25616840145791e-20
102561192,2.856853696916535e-19
102561196,-1.6140275604962176e-20
102561199,-4.831864300625638e-19
102561201,8.248978530715397e-20
102561228,-6.207571091008635e-19
102561229,-3.6252845404365356e-19
102561230,1.0272694300520086e-19
102561231,2.2622018153864705e-19
102561234,6.0428040590859725e-19
102561235,9.59109974287591e-19
102561245,1.692643585829535e-19
102561246,-4.175031165877202e-19
102561248,7.36878114120299e-20
102561249,2.8504919238949075e-19
102561288,-3.8306187552248417e-19
102561305,-4.756280639057495e-19
102561312,3.4188462627136214e-19
102561314,5.161707133634817e-19
102561317,-1.1092235143127877e-18
102561348,-8.203168091141084e-19
102561361,2.1673839011622635e-19
102561366,2.9861287071571763e-19
102561369,6.144897289325587e-19
102561372,6.608247581780669e-19
102561377,4.788929017102085e-19
102561384,2.1495627672317733e-19
102561397,-2.3522641052394436e-20
102561398,1.6530658516840376e-19
102561402,-8.200685891818964e-19
102561407,-1.9130252994908797e-19
102561415,2.7973579337330795e-19
102561437,3.1571007079408046e-12
102561448,-2.1529115502072915e-20
102561449,-1.3176173285205406e-19
102561452,-1.8190854997266528e-19
102561453,-4.0207006874640267e-19
102561455,1.9507098067661796e-19
102561457,-2.238257733933155e-19
102561458,-3.223577916579737e-20
102561465,-9.454907059027824e-20
102561471,-9.599023459292689e-20
102561473,1.8334426627729363e-19
102561503,4.09329423435724e-19
102561509,5.074509420856037e-19
102561511,-1.9715058626643156e-19
102561541,1.5888502600020484e-17
102561542,1.5705146780870236e-16
102561683,1.6908166268801256e-19
102561684,5.424994951825841e-21
102561696,-8.001265381396587e-17
102561744,4.8277069989584954e-18
102561745,1.5676970728990794e-17
102561747,6.077805675711103e-17
102561750,-5.068678534717439e-19
102561753,2.82463203707503e-19
102561822,4.40964105325887e-19
102561824,4.714623691181976e-19
102561825,4.73587903759655e-20
102561837,7.920724713932805e-21
102561893,-1.352253020730434e-17
102561902,-2.1342921448770207e-17
102561906,-2.2587782423869466e-19
102561937,1.2914300184173281e-19
102561938,-3.1407777089885175e-19
102561944,7.505695026904028e-18
102562007,1.410824724187407e-19
102562015,-2.457157613077446e-19
102562018,-2.741674774791453e-19
102562027,4.239285445789205e-19
102562028,1.5561348615681937e-19
102562029,2.699913598223284e-19
102562038,1.6764535537414216e-20
102562039,4.0515378647786967e-19
102562041,-2.4063647639454275e-19
102562043,1.8834706145259663e-19
102562046,8.307811628871115e-19
102562048,5.595499312208688e-21
102562052,1.4174537909172567e-16
102562054,1.968136211497717e-17
102562056,-2.9376845152436014e-20
102562057,-1.8391782849490513e-19
102562060,2.3769881679092285e-19
102562076,-1.189672284195151e-19
102562159,-9.97497586324615e-19
