node,y,x,street_count,highway,ref,geometry,betweenness_w_bridge,betweenness_wo_bridge,closeness_w_bridge,closeness_wo_bridge,eigenvector_w_bridge,eigenvector_wo_bridge,straightness_w_bridge,straightness_wo_bridge
182206042,39.109428,-75.8308465,3,,,POINT (1644079.8590879021 527560.0519000024),0.0051548024843252,0.0051548024843252,2.8990651176648385e-05,2.8990651176648385e-05,1.1638763851769418e-06,1.1638763851769418e-06,0.84057251448819,0.84057251448819
182206067,39.1203996,-75.8098225,4,,,POINT (1649992.9622816218 531632.8257591756),0.0042561346860818,0.0042561346860818,2.762178769254225e-05,2.762178769254225e-05,8.242052678341308e-08,8.242052678341308e-08,0.8529117615059519,0.8529117615059519
182206104,39.1328272,-75.7910896,3,,,POINT (1655247.3275860932 536228.5987226571),0.0034119664236895,0.0034119664236895,2.6334466917915023e-05,2.6334466917915023e-05,5.018178807192545e-07,5.018178807192545e-07,0.8580799357854668,0.8580799357854668
182804280,39.1519054,-76.0391998,1,,,POINT (1584799.4511487037 542340.4760590694),0.0,0.0,3.456809765220753e-05,3.456809765220753e-05,2.090216382100848e-18,2.090216382100848e-18,0.7172061375712435,0.7172061375712435
182804284,39.1485069,-76.0378406,3,,,POINT (1585197.9271623748 541106.8077707922),0.0011456393394721,0.0011456393394721,3.5076201841128956e-05,3.5076201841128956e-05,6.726607492519169e-19,6.726607492519169e-19,0.7229523943132952,0.7229523943132952
182804292,38.8626491,-76.3558681,3,,,POINT (1495743.2578885423 436204.6064845504),0.0136693700296874,0.0136693700296874,2.651611271574999e-05,2.651611271574999e-05,-2.1179365911308165e-19,-2.1179365911308165e-19,0.7431227281975028,0.7431227281975028
182804295,38.8650467,-76.3603548,3,,,POINT (1494459.6232043654 437068.7995473872),0.0011456393394721,0.0011456393394721,2.618056800374059e-05,2.618056800374059e-05,-7.0447092612369015e-19,-7.0447092612369015e-19,0.7276153955979674,0.7276153955979674
182804296,38.8650801,-76.3615658,1,turning_circle,,POINT (1494114.7366734208 437078.54969548294),0.0,0.0,2.610846552522967e-05,2.610846552522967e-05,5.983142559269307e-19,5.983142559269307e-19,0.7265953486149394,0.7265953486149394
182804299,39.0375207,-76.3050798,3,,,POINT (1509719.5718971898 499997.45727657544),0.0062855036980069,0.0062855036980069,3.2182713364470323e-05,3.2182713364470323e-05,4.701876954468309e-19,4.701876954468309e-19,0.6856344068590178,0.6856344068590178
182804300,39.0382311,-76.3052032,1,,,POINT (1509682.5527515775 500255.91690240515),0.0,0.0,3.2100391362516905e-05,3.2100391362516905e-05,-1.8272617291905792e-19,-1.8272617291905792e-19,0.6850075478300479,0.6850075478300479
182804301,38.9812611,-75.9865392,3,,,POINT (1600422.4079480753 480355.21027175325),0.0093461779327767,0.0093461779327767,3.945052097800544e-05,3.945052097800544e-05,6.399868967043416e-15,6.399868967043416e-15,0.7969791590130195,0.7969791590130195
182804315,38.9782344,-76.0103398,4,,,POINT (1593669.0185829392 479178.71005363425),0.026879844118195,0.026879844118195,4.047252425123554e-05,4.047252425123554e-05,1.0826620364045877e-15,1.0826620364045877e-15,0.7790867767473334,0.7790867767473334
182804316,38.9838183,-75.9835961,3,,,POINT (1601248.615801431 481295.79756536987),0.0107792530772949,0.0107792530772949,3.9376642186775054e-05,3.9376642186775054e-05,6.241852263549948e-14,6.241852263549948e-14,0.7995563936189923,0.7995563936189923
182804320,39.1976542,-76.054785,3,,,POINT (1580207.4061247462 558956.1106744627),0.000614268864924,0.000614268864924,2.8257018054086645e-05,2.8257018054086645e-05,1.2878027510168862e-14,1.2878027510168862e-14,0.6908908806499929,0.6908908806499929
